boringScore,gamePk,scoreHome,scoreAway,scoreDiff,totalRuns,totalHits,lateRuns,lastRunInning,leadChanges,deadAirInnings,totalLOB,pitchersUsed,moundVisits,reviews,durationScore,numInnings,attendanceScore,badTeamsPenalty,winPctHome,winPctAway,seasonProgress,reason
24,745323,5,4,1,9,19,3,9,2,7,20,9,3,0,18,9,-2,2.76,0.468,0.468,0.488,
14,745324,3,5,2,8,16,2,10,2,10,16,11,3,1,0,10,-3,2.85,0.476,0.463,0.506,
13,745325,4,3,1,7,15,0,5,1,7,10,9,5,1,-2,9,-2,2.82,0.481,0.457,0.5,
15,745326,6,8,2,14,21,5,8,1,7,19,11,7,0,9,9,-3,2.71,0.486,0.391,0.432,
16,745327,1,3,2,4,10,0,5,1,10,8,8,3,0,-5,9,-3,2.35,0.485,0.456,0.42,
-1,745328,5,3,2,8,19,0,6,1,6,12,7,2,0,-8,9,-4,2.38,0.493,0.449,0.426,
8,745329,3,4,1,7,16,1,7,1,6,14,9,3,0,2,9,-4,2.74,0.479,0.4,0.438,
-1,745330,5,7,2,12,22,4,9,3,6,17,11,4,0,8,9,-6,1.21,0.483,0.689,0.377,
3,745331,2,6,4,8,14,0,6,2,8,5,6,1,1,-2,9,-4,1.17,0.5,0.678,0.364,
11,745332,3,7,4,10,16,3,8,0,8,7,8,4,1,-3,9,-4,1.19,0.492,0.683,0.37,
20,745333,1,6,5,7,20,3,9,0,8,18,8,6,1,3,9,-3,1.09,0.509,0.684,0.352,
